object_key	representation_id	availability	byte_offset	byte_length	dimensions
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::1	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	38492	420	105
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::10	SUMMARY_RAW_V1	AVAILABLE	38912	40	10
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::10	SUMMARY_CANONICAL_V1	AVAILABLE	38952	40	10
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::10	TRAJECTORY_RAW_U21_V1	AVAILABLE	38992	420	105
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::10	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	39412	420	105
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::11	SUMMARY_RAW_V1	AVAILABLE	39832	40	10
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::11	SUMMARY_CANONICAL_V1	AVAILABLE	39872	40	10
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::11	TRAJECTORY_RAW_U21_V1	AVAILABLE	39912	420	105
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::11	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	40332	420	105
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::12	SUMMARY_RAW_V1	AVAILABLE	40752	40	10
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::12	SUMMARY_CANONICAL_V1	AVAILABLE	40792	40	10
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::12	TRAJECTORY_RAW_U21_V1	AVAILABLE	40832	420	105
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::12	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	41252	420	105
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::13	SUMMARY_RAW_V1	CENSORED_SUFFIX	41672	0	10
