target	feature	coefficient	absolute_coefficient	full_fit_penalty
initial_acceptance_given_initial_contact	node_region==BELOW	0.011563990554077041	0.011563990554077041	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|PIVOT|SENTINEL	0.0113988382742082	0.0113988382742082	0.01
initial_acceptance_given_initial_contact	corridor_down_noise_count	0.011066530612452524	0.011066530612452524	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE|SENTINEL	-0.010870990921978206	0.010870990921978206	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE|SENTINEL|TPO_PROFILE	0.010596149117980885	0.010596149117980885	0.01
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	-0.0089195374066745	0.0089195374066745	0.01
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE	-0.008727903475269937	0.008727903475269937	0.01
initial_acceptance_given_initial_contact	node_from_cog_sigma	-0.008568766191819049	0.008568766191819049	0.01
initial_acceptance_given_initial_contact	feature_regional_cog_velocity_atr	0.008270716964666964	0.008270716964666964	0.01
initial_acceptance_given_initial_contact	server_hour_cos	0.007780403091508885	0.007780403091508885	0.01
initial_acceptance_given_initial_contact	start_region==MEDIAN_CORE	0.007693072452479956	0.007693072452479956	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	-0.007392326421673279	0.007392326421673279	0.01
initial_acceptance_given_initial_contact	node_age_seconds	0.007214858196252396	0.007214858196252396	0.01
initial_acceptance_given_initial_contact	feature_cog_median_gap_sigma	-0.007078176155731663	0.007078176155731663	0.01
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|GLOBAL_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	-0.0069607146758031615	0.0069607146758031615	0.01
initial_acceptance_given_initial_contact	corridor_down_level_count	0.006592263047607901	0.006592263047607901	0.01
initial_acceptance_given_initial_contact	feature_raw_level_count	-0.006040269609329376	0.006040269609329376	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT|PIVOT|SENTINEL|TPO_PROFILE	-0.0059826407715764425	0.0059826407715764425	0.01
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|MID_PIVOT|PIVOT|TPO_PROFILE	-0.005626428896115356	0.005626428896115356	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE|SENTINEL|TPO_PROFILE	-0.0045476469674501085	0.0045476469674501085	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|SENTINEL|TPO_PROFILE	-0.004458892438978608	0.004458892438978608	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT	-0.003776299093468047	0.003776299093468047	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|SENTINEL	0.0037022595056864374	0.0037022595056864374	0.01
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE|SENTINEL|TPO_PROFILE	-0.0017872013926691682	0.0017872013926691682	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|PIVOT|SENTINEL|TPO_PROFILE	0.0007121999951959082	0.0007121999951959082	0.01
initial_acceptance_given_initial_contact	contributor_families==MID_PIVOT|TPO_PROFILE	-0.00046163422520966547	0.00046163422520966547	0.01
initial_acceptance_given_initial_contact	feature_spread_atr	-0.000295507461461056	0.000295507461461056	0.01
rejection_given_initial_contact	INTERCEPT	2.6781701301035428	2.6781701301035428	0.001
rejection_given_initial_contact	node_width_sigma	1.5394111673704511	1.5394111673704511	0.001
rejection_given_initial_contact	contributor_families==DAILY_EXTREME	1.2174139184787478	1.2174139184787478	0.001
rejection_given_initial_contact	node_width_atr	1.1014567606422028	1.1014567606422028	0.001
rejection_given_initial_contact	contributor_families==PIVOT|TPO_PROFILE	-0.9887041767167513	0.9887041767167513	0.001
rejection_given_initial_contact	contributor_families==GLOBAL_VALUE|TPO_PROFILE	-0.9367348018853393	0.9367348018853393	0.001
rejection_given_initial_contact	contributor_families==ADAPTIVE_VALUE|PIVOT	0.9314808405689998	0.9314808405689998	0.001
rejection_given_initial_contact	contributor_families==MID_PIVOT|PIVOT|PIVOT_ZONE	0.8643648948083144	0.8643648948083144	0.001
rejection_given_initial_contact	contributor_families==MID_PIVOT|PIVOT	-0.8060691997349673	0.8060691997349673	0.001
rejection_given_initial_contact	contributor_producers==WAYNE	-0.7974254927823082	0.7974254927823082	0.001
rejection_given_initial_contact	contributor_families==TPO_PROFILE	-0.7861164695416542	0.7861164695416542	0.001
rejection_given_initial_contact	contributor_families==MID_PIVOT|TPO_PROFILE	-0.7627059639877459	0.7627059639877459	0.001
rejection_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|PIVOT	0.6693875350965844	0.6693875350965844	0.001
rejection_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT|TPO_PROFILE	0.6685833170398924	0.6685833170398924	0.001
rejection_given_initial_contact	contributor_families==PIVOT	-0.6200556126699691	0.6200556126699691	0.001
rejection_given_initial_contact	contributor_producers==VOLKITT|WAYNE	-0.5344923308755868	0.5344923308755868	0.001
rejection_given_initial_contact	contributor_families==<OTHER>	-0.5308083048595671	0.5308083048595671	0.001
