session_id	civil_date	reason
OBSOPEN_US30_20250628	2025-06-28	NON_SESSION_WEEKEND
OBSOPEN_US30_20250629	2025-06-29	NON_SESSION_WEEKEND
OBSOPEN_US30_20250703	2025-07-03	EARLY_CLOSE_HORIZON_INCOMPLETE
OBSOPEN_US30_20250704	2025-07-04	EXCHANGE_CLOSED
OBSOPEN_US30_20250705	2025-07-05	NON_SESSION_WEEKEND
OBSOPEN_US30_20250706	2025-07-06	NON_SESSION_WEEKEND
OBSOPEN_US30_20250711	2025-07-11	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250712	2025-07-12	NON_SESSION_WEEKEND
OBSOPEN_US30_20250713	2025-07-13	NON_SESSION_WEEKEND
OBSOPEN_US30_20250716	2025-07-16	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250717	2025-07-17	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250718	2025-07-18	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250719	2025-07-19	NON_SESSION_WEEKEND
OBSOPEN_US30_20250720	2025-07-20	NON_SESSION_WEEKEND
OBSOPEN_US30_20250721	2025-07-21	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250722	2025-07-22	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250723	2025-07-23	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250724	2025-07-24	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250725	2025-07-25	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250726	2025-07-26	NON_SESSION_WEEKEND
OBSOPEN_US30_20250727	2025-07-27	NON_SESSION_WEEKEND
OBSOPEN_US30_20250728	2025-07-28	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250729	2025-07-29	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250730	2025-07-30	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250731	2025-07-31	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250801	2025-08-01	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250802	2025-08-02	NON_SESSION_WEEKEND
OBSOPEN_US30_20250803	2025-08-03	NON_SESSION_WEEKEND
OBSOPEN_US30_20250804	2025-08-04	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250805	2025-08-05	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250806	2025-08-06	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250807	2025-08-07	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250808	2025-08-08	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250809	2025-08-09	NON_SESSION_WEEKEND
OBSOPEN_US30_20250810	2025-08-10	NON_SESSION_WEEKEND
OBSOPEN_US30_20250811	2025-08-11	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250812	2025-08-12	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250813	2025-08-13	NOT_EVALUABLE_SOURCE_COVERAGE_M1
