unit,stratifier,stratum,metric,rows,count,missing_count,missing_rate,censored_count,censoring_rate,min,p01,p05,p25,median,p75,p95,p99,max,mean,std
attempt,resolution,NODE_RETIRED,inside_seconds,889,889,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,935.9999999999991,4085.920000000001,7724.0,171.81552305961756,758.8274158272193
attempt,resolution,NODE_RETIRED,approach_efficiency,889,889,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.03620274,0.41875,1.0,1.0,1.0,0.2663423628008999,0.3851709833325722
attempt,resolution,NODE_RETIRED,node_width_atr,889,889,0,0.0,0,0.0,0.0,0.0,0.0,0.04024955,0.08950949,0.63448456,8.940500567999973,16.145232342000003,26.19066383,1.3612352417322835,3.3246942418756884
attempt,resolution,NODE_RETIRED,node_age_seconds,889,889,0,0.0,0,0.0,0.0,0.0,0.0,4.0,719.0,6707.0,76245.5999999999,167687.84000000005,338429.0,12437.019122609674,33621.247729797564
attempt,resolution,NODE_RETIRED,start_median_sigma,889,889,0,0.0,0,0.0,-2.40178463,-2.0967229688,-1.197047002,-0.45145652,-0.01213345,0.34851939,1.1932359339999958,1.6473816648,1.99846091,-0.04988190106861644,0.7149641743131898
attempt,resolution,NODE_RETIRED,nearest_corridor_atr,889,889,0,0.0,0,0.0,0.00697898,0.10171577120000001,0.16533041000000004,0.58969584,1.23410223,2.74574631,7.80113962199998,14.012722780400004,19.05241935,2.2397879855680545,2.787639782450038
attempt,resolution,NONE,duration_seconds,20,20,0,0.0,20,1.0,33.0,47.06,103.30000000000001,346.25,1206.5,3588.75,6238.500000000001,6793.299999999999,6932.0,2170.0,2269.587743691746
attempt,resolution,NONE,penetration_atr,20,20,0,0.0,20,1.0,0.0,0.0,0.0,0.0,0.17589118,0.96423152,1.857630579000001,2.9619604197999982,3.23804288,0.6290152745,0.8795905921334684
attempt,resolution,NONE,inside_seconds,20,20,0,0.0,20,1.0,0.0,0.0,0.0,0.0,1.0,293.5,4596.500000000002,6367.299999999997,6810.0,654.9,1757.8027223002916
attempt,resolution,NONE,approach_efficiency,20,20,0,0.0,20,1.0,0.0,0.0,0.0,0.0,0.016826925,0.126384985,1.0,1.0,1.0,0.16653976250000002,0.3115839621519917
attempt,resolution,NONE,node_width_atr,20,20,0,0.0,20,1.0,0.05775756,0.060325524,0.07059738,0.092650685,2.12645763,3.9403440175,8.294284251,8.9031126662,9.05531977,2.789212693,3.050170709595363
attempt,resolution,NONE,node_age_seconds,20,20,0,0.0,20,1.0,2834.0,2883.97,3083.85,14300.75,41581.5,71795.0,301031.8000000001,396363.15999999986,420196.0,74151.8,106488.1681925768
attempt,resolution,NONE,start_median_sigma,20,20,0,0.0,20,1.0,-1.78368233,-1.7339535616,-1.5350384879999999,-0.191261875,0.181236995,0.4319054425,1.0801331665000005,1.7394692892999988,1.90430332,0.04594030499999999,0.8558197187449909
attempt,resolution,NONE,nearest_corridor_atr,20,20,0,0.0,20,1.0,0.14439391,0.14440438279999998,0.144446274,0.39342401,0.611271235,1.2027751875,3.8273494690000036,7.727284133799993,8.7022678,1.3594490415000002,2.007228335950283
attempt,resolution,RECLAIM_AFTER_BREAK,duration_seconds,880,880,0,0.0,0,0.0,34.0,81.0,154.9,298.0,524.5,902.0,3528.649999999997,6112.7700000000195,9083.0,933.6806818181818,1222.89356275924
attempt,resolution,RECLAIM_AFTER_BREAK,penetration_atr,880,880,0,0.0,0,0.0,0.00676133,0.021857267500000003,0.07391560750000001,0.1626918925,0.36100429,0.729497175,1.8578986049999995,3.2551801791000012,7.27314181,0.5807696515340909,0.7010819374535586
attempt,resolution,RECLAIM_AFTER_BREAK,inside_seconds,880,880,0,0.0,0,0.0,0.0,0.0,0.0,8.0,25.0,68.0,876.4999999999986,2503.21,7022.0,157.67613636363637,520.6782623652837
attempt,resolution,RECLAIM_AFTER_BREAK,approach_efficiency,880,880,0,0.0,0,0.0,0.00089419,0.0016128815000000004,0.007095876500000001,0.04328957,0.148241505,0.47447043499999997,1.0,1.0,1.0,0.30642741625,0.3403701524805889
attempt,resolution,RECLAIM_AFTER_BREAK,node_width_atr,880,880,0,0.0,0,0.0,0.0,0.0,0.0067928815,0.039839655,0.079434615,0.11306447750000001,0.9729868619999997,2.002553961300004,6.84492904,0.202863651625,0.49639175001184876
attempt,resolution,RECLAIM_AFTER_BREAK,node_age_seconds,880,880,0,0.0,0,0.0,0.0,0.0,1.0,1201.75,8400.0,37218.75,142960.89999999994,226346.05000000005,290801.0,29407.179545454546,46651.32899047476
attempt,resolution,RECLAIM_AFTER_BREAK,start_median_sigma,880,880,0,0.0,0,0.0,-2.22614344,-1.8332223284,-1.1140225705,-0.324290095,0.00412063,0.308069625,0.8061872429999994,1.5328423122000003,1.92018546,-0.03963124645454547,0.6073403014878413
attempt,resolution,RECLAIM_AFTER_BREAK,nearest_corridor_atr,880,880,0,0.0,0,0.0,0.07239819,0.121794446,0.184657505,0.4849268825,0.980796605,1.87403429,4.580523693499999,11.087993786200002,14.79063018,1.5542926328181816,1.88258297207913
attempt,resolution,REJECT_TO_ORIGIN,duration_seconds,3504,3504,0,0.0,0,0.0,3.0,14.0,37.150000000000006,100.0,238.0,747.0,3417.7,6244.6499999999905,94223.0,760.8284817351598,2004.6900435447055
attempt,resolution,REJECT_TO_ORIGIN,penetration_atr,3504,3504,0,0.0,0,0.0,0.0,0.0,0.004363322,0.0703785375,0.22722485,0.5652014675,1.8768804155,3.8968933758999857,10.61867936,0.4943010176769406,0.7822026724693028
attempt,resolution,REJECT_TO_ORIGIN,inside_seconds,3504,3504,0,0.0,0,0.0,0.0,0.0,1.0,9.75,39.0,147.0,1192.3999999999996,3685.6099999999974,7254.0,246.21746575342465,672.515925097172
